country,name,phone,email,dealerNo,geoCodeLongitude,geoCodeLatitude,postcode,town,street,region,fax,websiteFullUrl
AD,MULTIMOTO,00 376 833112,multimoto@multimoto.ad,3208,1.583022,42.536265,AD200,Encamp,Avinguda de La Barta s/n ,,0833178,https://www.multimoto.ad
AO,TrevoTech,222 4001 01,info@trevotech.info,3764,13.184766,-8.948118,.,Luanda,Estrada do Patriota ,,,http://comercial.trevotech.com
AR,FAM Motos Resistencia,0362 4573030,ktm.chaco@gmail.com,7960028527090209253,-58.970068,-27.436094,3500,Resistencia,Avenida Sarmiento 1881,,,#
AR,Benavides Motos,0387 4310858,kevinkmb12@icloud.com,7960028471255634405,-65.3971,-24.80683,4400,Salta,Avenida Hipólito Yrigoyen 739,,,#
AR,KTM Tucuman,(0381) 420-5587,ktmtucuman@uolsinectis.com.ar,7960028282277073381,-65.21936,-26.82909,T4000,"San Miguel de Tucumán, Tucumán",San Lorenzo 1312,,,#
AR,Land Cook,03442-427838,ventas@cooknautica.com.ar,7960028531385176549,-58.227051,-32.482201,3260,"Concepcion del Uruguay, Entre Rios",Rocamora 378,,,https://www.landcook.com.ar
AR,Gibar Motos,,humbertobaruffato@hotmail.com,-8371650190478218168,-60.70442,-31.61023,3006,Santa Fe,Avenida Facundo Zuviría 6085 6085				,,,#
AR,Mezher Motors,03822 422787,mezhermotors@hotmail.com,7960028342406615525,-66.849037,-29.427851,F5300GHC,La Rioja, Av. Monseñor Angelelli,,,#
AR,Sport KTM Rosario,(0341)152129143,Ktmrosario@sportnautica.com.ar,4239338998268760549,-60.700004,-32.935233,2000,Rosario,Santa Fe 5616,,,#
AR,I Casa ,0357-4421163,hectorisuani@icasaonline.com.ar,7960028449780797925,-64.12939,-31.36945,5000,Cordoba,Avenida Circunvalación 2360 2360,,,#
AR,Motos Campana ,03489 15-68-6104,,1794246784324268357,-58.95118,-34.17106,2804,Campana,Boulevard Sarmiento 733 733,,,#
AR,Pro Motors,4799-9111,ventas@pro-motors.com.ar,7960028402536157669,-58.48395,-34.49682,1636,La Lucila,Avenida Del Libertador Gral. San Martin 3344,,,#
AR,KTM Urquiza Motos (Sede Av. Cabildo),,ventas@urquizamotos.com.ar,8786281254116515139,-58.47187,-34.5443,1429,Ciudad Autonoma Buenos Aires,Avenida Cabildo 4674,,,#
AR,"Pro Motors, Puerto Madero",4587-3873,administracionmadero@pro-motors.com.ar,4239339028333531621,-58.36399,-34.5996,1107,Ciudad Autonoma Buenos Aires,Juana Manso 163 163,,,#
AR,KTM Urquiza Motos (Sede Urquiza),08104446686,ventas@urquizamotos.com.ar,-7802576930197352630,-58.48548,-34.57392,1431,Ciudad Autonoma Buenos Aires,Avenida Triunvirato 5657,,,#
AR,KTM Urquiza Motos (Sede Av. La Plata),,ventas@urquizamotos.com.ar,-670759255064184509,-58.42771,-34.62241,1235,Ciudad Autonoma Buenos Aires,Avenida La Plata 827,,,#
